#Timestamp-Hour:Minute:Second:Millisecond, Current Scene Index, (xPos, yPos, zPos), (wRot, xRot, yRot, zRot)
20:1:14:959, 0, (0, 0, 0), (0, 0, 0, 0)

20:1:15:954, 0, (0, 0, 0), (0, 0, 0, 0)

20:1:16:954, 0, (0, 0, 0), (0, 0, 0, 0)

20:1:17:954, 0, (0, 0, 0), (0, 0, 0, 0)

20:1:18:954, 0, (0, 0, 0), (0, 0, 0, 0)

20:1:23:463, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

20:1:24:483, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

20:1:25:482, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

20:1:26:486, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

20:1:27:491, 1, (1000, 48.38041, 1200), (-0.03026957, 0, 0.9995418, 0)

