#Timestamp-Hour:Minute:Second:Millisecond, Current Scene Index, (xPos, yPos, zPos), (wRot, xRot, yRot, zRot)
17:48:1:542, 0, (0, 0, 0), (0, 0, 0, 0)

17:48:6:825, 0, (0, 0, 0), (0, 0, 0, 0)

17:48:12:132, 4, (-34.48427, 254.0234, 486.7158), (-0.1400291, 0, 0.9901474, 0)

17:48:13:132, 4, (-34.48427, 254.0234, 486.7158), (-0.1400291, 0, 0.9901474, 0)

17:48:14:136, 4, (-34.48427, 254.0234, 486.7158), (-0.1400291, 0, 0.9901474, 0)

17:48:15:124, 4, (-34.48427, 254.0234, 486.7158), (-0.1400291, 0, 0.9901474, 0)

17:48:16:124, 4, (-34.48427, 254.0234, 486.7158), (-0.1400291, 0, 0.9901474, 0)

17:48:17:128, 4, (-34.48427, 254.0234, 486.7158), (-0.1400291, 0, 0.9901474, 0)

17:48:18:128, 4, (-34.48427, 254.0234, 486.7158), (-0.1400291, 0, 0.9901474, 0)

17:48:19:132, 4, (-34.48427, 254.0234, 486.7158), (-0.1400291, 0, 0.9901474, 0)

17:48:20:136, 4, (-34.48427, 254.0234, 486.7158), (-0.1400291, 0, 0.9901474, 0)

17:48:21:136, 4, (-34.48427, 254.0234, 486.7158), (-0.1400291, 0, 0.9901474, 0)

17:48:22:124, 4, (-34.48427, 254.0234, 486.7158), (-0.1400291, 0, 0.9901474, 0)

17:48:23:129, 4, (-34.48427, 254.0234, 486.7158), (-0.1400291, 0, 0.9901474, 0)

17:48:24:128, 4, (-34.55501, 254.0234, 486.4707), (-0.1400291, 0, 0.9901474, 0)

17:48:25:132, 4, (-34.48428, 254.0234, 486.7157), (-0.1380319, 0, 0.9904278, 0)

17:48:26:136, 4, (-34.48427, 254.0234, 486.7158), (-0.1400291, 0, 0.9901474, 0)

