#Timestamp, Current Scene Index, (xPos, yPos, zPos), (wRot, xRot, yRot, zRot)
0:0:0, 0, (0, 0, 0), (0, 0, 0, 0)

0:0:0, 0, (0, 0, 0), (0, 0, 0, 0)

0:0:0, 0, (0, 0, 0), (0, 0, 0, 0)

0:0:0, 0, (0, 0, 0), (0, 0, 0, 0)

0:0:0, 0, (0, 0, 0), (0, 0, 0, 0)

0:0:0, 0, (0, 0, 0), (0, 0, 0, 0)

0:0:0, 1, (1000, 48.49095, 1200), (-0.2657255, 0, 0.9640487, 0)

0:0:0, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

0:0:0, 1, (994.6758, 48.67426, 1191.076), (-0.2657257, 0, 0.9640487, 0)

0:0:0, 1, (989.6343, 48.739, 1182.625), (-0.2657257, 0, 0.9640487, 0)

0:0:0, 1, (984.4891, 48.61075, 1174.001), (-0.2657257, 0, 0.9640487, 0)

0:0:0, 1, (979.3669, 48.3075, 1165.416), (-0.2657257, 0, 0.9640487, 0)

0:0:0, 1, (974.2222, 47.84529, 1156.792), (-0.2657257, 0, 0.9640487, 0)

0:0:0, 1, (969.1605, 47.30043, 1148.308), (-0.2657257, 0, 0.9640487, 0)

0:0:0, 1, (963.9344, 46.64259, 1139.548), (-0.2657257, 0, 0.9640487, 0)

0:0:0, 1, (958.8625, 45.90847, 1130.936), (0.1103161, 0, 0.9938965, 0)

0:0:0, 1, (961.8872, 45.37685, 1121.687), (0.2136022, 0, 0.9769207, 0)

0:0:0, 1, (970.2754, 45.3435, 1117.783), (0.5373567, 0, 0.8433551, 0)

0:0:0, 1, (975.1795, 45.04994, 1110.628), (0.0676308, 0, 0.9977104, 0)

0:0:0, 1, (980.9107, 44.75594, 1102.88), (0.2880991, 0, 0.9576006, 0)

0:0:0, 1, (986.6996, 44.47611, 1095.335), (-0.1018227, 0, 0.9948026, 0)

0:0:0, 1, (986.3966, 44.56666, 1097.4), (0.999965, 0, 0.008377348, 0)

0:0:0, 1, (986.611, 45.02431, 1107.343), (-0.9997947, 0, 0.02026124, 0)

0:0:0, 1, (986.2245, 45.49379, 1117.376), (-0.9997947, 0, 0.02026124, 0)

0:0:0, 1, (985.824, 45.99896, 1127.248), (-0.9997947, 0, 0.02026124, 0)

0:0:0, 1, (985.4252, 46.53836, 1137.08), (-0.9997947, 0, 0.02026124, 0)

0:0:0, 1, (985.9706, 47.00626, 1145.386), (-0.9918641, 0, 0.1273012, 0)

0:0:0, 1, (978.6485, 47.07818, 1145.006), (-0.8556722, 0, -0.5175182, 0)

0:0:0, 1, (987.3712, 47.2091, 1149.576), (0.8556722, 0, 0.5175182, 0)

0:0:0, 1, (996.2323, 47.15889, 1154.222), (0.8556722, 0, 0.5175182, 0)

0:0:0, 1, (1004.978, 46.86884, 1158.807), (0.8556722, 0, 0.5175182, 0)

0:0:0, 2, (0, 0, 0), (0, 0, 0, 0)

0:0:0, 2, (0, 0, 0), (0, 0, 0, 0)

0:0:0, 3, (5, 1.01, 7), (1, 0, 0, 0)

0:0:0, 3, (5, 1.01, 8.990001), (1, 0, 0, 0)

0:0:0, 3, (5.028557, 1.01, 8.990136), (0.9826574, 0, 0.1854303, 0)

0:0:0, 3, (5.127775, 1.01, 8.977836), (0.6614102, 0, 0.7500244, 0)

0:0:0, 3, (11.99695, 1.01, 8.421888), (0.9147289, 0, 0.4040682, 0)

0:0:0, 3, (11.1345, 1.01, 11.79253), (-0.9916837, 0, 0.1286996, 0)

0:0:0, 3, (11.09163, 1.01, 21.70701), (0.9855108, 0, 0.1696129, 0)

0:0:0, 3, (12.33484, 1.01, 23.61741), (-0.8388018, 0, 0.5444369, 0)

0:0:0, 3, (12.33488, 1.01, 23.61744), (0.08352, 0, 0.9965061, 0)

0:0:0, 3, (15.38542, 1.01, 21.00569), (0.494132, 0, 0.8693869, 0)

0:0:0, 3, (17.18745, 1.01, 21.00009), (0.7634554, 0, 0.6458606, 0)

0:0:0, 3, (24.21376, 1.01, 23.53419), (0.7403789, 0, 0.6721898, 0)

0:0:0, 3, (27.96395, 1.01, 21.70414), (0.8487807, 0, 0.5287451, 0)

0:0:0, 3, (34.03406, 1.01, 26.10762), (0.9948869, 0, 0.1009948, 0)

0:0:0, 3, (34.11177, 1.01, 26.30302), (0.9988444, 0, 0.04806163, 0)

0:0:0, 3, (32.9819, 1.01, 30.10234), (-0.9951826, 0, 0.09803916, 0)

0:0:0, 3, (32.80202, 1.01, 40.02271), (0.9991957, 0, 0.04009979, 0)

0:0:0, 3, (34.32003, 1.01, 45.33358), (0.07852029, 0, 0.9969125, 0)

0:0:0, 3, (34.32506, 1.01, 45.33381), (-0.06580034, 0, 0.9978328, 0)

