#Timestamp-Hour:Minute:Second:Millisecond, Current Scene Index, (xPos, yPos, zPos), (wRot, xRot, yRot, zRot)
18:27:54:130, 0, (0, 0, 0), (0, 0, 0, 0)

18:27:55:126, 0, (0, 0, 0), (0, 0, 0, 0)

18:27:56:126, 0, (0, 0, 0), (0, 0, 0, 0)

18:27:57:126, 0, (0, 0, 0), (0, 0, 0, 0)

18:28:2:123, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

18:28:3:179, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

18:28:4:110, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

18:28:5:130, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

18:28:6:118, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

18:28:7:103, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

18:28:8:106, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

18:28:9:111, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

18:28:10:131, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

18:28:11:130, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

