#Timestamp-Hour:Minute:Second:Millisecond, Current Scene Index, (xPos, yPos, zPos), (wRot, xRot, yRot, zRot)
17:17:52:781, 0, (0, 0, 0), (0, 0, 0, 0)

17:17:53:777, 0, (0, 0, 0), (0, 0, 0, 0)

17:17:54:777, 0, (0, 0, 0), (0, 0, 0, 0)

17:17:55:777, 0, (0, 0, 0), (0, 0, 0, 0)

17:17:56:777, 0, (0, 0, 0), (0, 0, 0, 0)

17:17:57:777, 0, (0, 0, 0), (0, 0, 0, 0)

17:17:58:777, 0, (0, 0, 0), (0, 0, 0, 0)

17:17:59:777, 0, (0, 0, 0), (0, 0, 0, 0)

17:18:0:777, 0, (0, 0, 0), (0, 0, 0, 0)

17:18:1:777, 0, (0, 0, 0), (0, 0, 0, 0)

17:18:2:777, 0, (0, 0, 0), (0, 0, 0, 0)

17:18:3:777, 0, (0, 0, 0), (0, 0, 0, 0)

17:18:4:777, 0, (0, 0, 0), (0, 0, 0, 0)

17:18:5:777, 0, (0, 0, 0), (0, 0, 0, 0)

17:18:6:777, 0, (0, 0, 0), (0, 0, 0, 0)

17:18:12:734, 1, (1000, 48.38041, 1200), (-0.2495832, 0, 0.9683534, 0)

17:18:13:754, 1, (1000, 48.38041, 1200), (0.1727077, 0, 0.9849731, 0)

17:18:14:742, 1, (999.0925, 48.44633, 1198.148), (-0.6288542, 0, 0.7775233, 0)

17:18:15:742, 1, (994.2145, 48.78384, 1197.098), (-0.6288542, 0, 0.7775233, 0)

17:18:16:730, 1, (989.3826, 49.07797, 1196.065), (-0.6288542, 0, 0.7775233, 0)

17:18:17:730, 1, (984.4946, 49.30975, 1195.02), (-0.616184, 0, 0.7876022, 0)

17:18:18:734, 1, (980.4281, 49.41286, 1192.16), (-0.4297492, 0, 0.9029483, 0)

17:18:19:754, 1, (976.1055, 49.51662, 1190.913), (-0.7972661, 0, 0.6036279, 0)

17:18:20:754, 1, (971.273, 49.66377, 1192.272), (-0.7947847, 0, 0.6068916, 0)

17:18:21:758, 1, (966.4301, 49.78088, 1193.595), (-0.7947847, 0, 0.6068916, 0)

17:18:22:726, 1, (961.5935, 49.8645, 1194.693), (-0.5300726, 0, 0.8479522, 0)

17:18:23:730, 1, (958.5093, 49.76311, 1191), (0.03591607, 0, 0.9993548, 0)

17:18:26:722, 1, (959.1912, 49.6971, 1189.24), (0.9804598, 0, 0.1967196, 0)

17:18:27:626, 1, (961.3134, 49.8553, 1194.272), (0.9804597, 0, 0.1967197, 0)

17:18:28:626, 1, (963.2417, 49.95012, 1198.883), (0.9804597, 0, 0.1967197, 0)

17:18:29:934, 2, (0, 0, 0), (0, 0, 0, 0)

17:18:30:934, 2, (0, 0, 0), (0, 0, 0, 0)

17:18:31:934, 2, (0, 0, 0), (0, 0, 0, 0)

17:18:32:934, 2, (0, 0, 0), (0, 0, 0, 0)

17:18:36:915, 4, (-366, 214.0124, 677.3593), (-3.500781E-06, 0, 1, 0)

17:18:37:918, 4, (-365.9849, 214.0124, 661.5456), (0.06160215, 0, 0.9981008, 0)

17:18:38:923, 4, (-355.6794, 214.0124, 654.7256), (0.6950136, 0, 0.7189966, 0)

17:18:39:922, 4, (-342.0426, 214.0124, 655.02), (0.6022875, 0, 0.7982793, 0)

17:18:40:910, 4, (-327.5641, 214.0124, 649.9368), (0.59206, 0, 0.8058938, 0)

17:18:41:910, 4, (-318.3941, 214.0124, 645.7686), (0.59206, 0, 0.8058938, 0)

