#Timestamp-Hour:Minute:Second:Millisecond, Current Scene Index, (xPos, yPos, zPos), (wRot, xRot, yRot, zRot)
19:13:12:475, 0, (0, 0, 0), (0, 0, 0, 0)

19:13:13:638, 0, (0, 0, 0), (0, 0, 0, 0)

19:13:19:219, 1, (1000, 49.29335, 1200), (-0.265725, 0, 0.9640489, 0)

19:13:20:238, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

19:13:21:226, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

19:13:22:578, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

19:13:23:598, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

19:13:24:582, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

19:13:25:586, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

19:13:26:590, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

19:13:27:574, 1, (1000, 48.38041, 1200), (-0.08136143, 0, 0.9966847, 0)

19:13:28:578, 1, (1000, 48.38041, 1200), (0.3294709, 0, 0.9441658, 0)

