#Timestamp-Hour:Minute:Second:Millisecond, Current Scene Index, (xPos, yPos, zPos), (wRot, xRot, yRot, zRot)
17:36:50:968, 0, (0, 0, 0), (0, 0, 0, 0)

17:36:52:126, 0, (0, 0, 0), (0, 0, 0, 0)

17:36:53:126, 0, (0, 0, 0), (0, 0, 0, 0)

17:36:54:126, 0, (0, 0, 0), (0, 0, 0, 0)

17:36:55:126, 0, (0, 0, 0), (0, 0, 0, 0)

17:36:59:803, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

17:37:0:823, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

17:37:4:80, 4, (-366, 215.16, 678), (-4.371139E-08, 0, 1, 0)

17:37:5:535, 4, (-34.48427, 254.0234, 486.7158), (-0.1400291, 0, 0.9901474, 0)

17:37:6:535, 4, (-34.48427, 254.0234, 486.7158), (-0.1400291, 0, 0.9901474, 0)

17:37:7:539, 4, (-34.48427, 254.0234, 486.7158), (-0.1400291, 0, 0.9901474, 0)

17:37:8:543, 4, (-34.48427, 254.0234, 486.7158), (-0.1400291, 0, 0.9901474, 0)

17:37:9:543, 4, (-34.48427, 254.0234, 486.7158), (-0.1400291, 0, 0.9901474, 0)

17:37:10:547, 4, (-34.48427, 254.0234, 486.7158), (-0.1400291, 0, 0.9901474, 0)

