#Timestamp-Hour:Minute:Second:Millisecond, Current Scene Index, (xPos, yPos, zPos), (wRot, xRot, yRot, zRot)
19:16:16:970, 0, (0, 0, 0), (0, 0, 0, 0)

19:16:18:134, 0, (0, 0, 0), (0, 0, 0, 0)

19:16:19:138, 0, (0, 0, 0), (0, 0, 0, 0)

19:16:23:683, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

19:16:24:666, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

19:16:25:702, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

19:16:26:670, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

19:16:27:708, 1, (1000, 48.38041, 1200), (0.4964944, 0, 0.86804, 0)

