#Timestamp, Current Scene Index, (xPos, yPos, zPos), (wRot, xRot, yRot, zRot)
19:1:12, 0, (0, 0, 0), (0, 0, 0, 0)

19:1:13, 0, (0, 0, 0), (0, 0, 0, 0)

19:1:14, 0, (0, 0, 0), (0, 0, 0, 0)

19:1:19, 1, (998.3577, 48.50433, 1199.92), (-0.6897315, 0, 0.7240653, 0)

19:1:19, 1, (990.3685, 49.04744, 1199.522), (-0.5940468, 0, 0.8044305, 0)

19:1:22, 1, (987.9844, 49.16692, 1196.95), (0.1675647, 0, 0.9858611, 0)

19:1:23, 1, (991.2907, 48.80331, 1187.478), (0.1675647, 0, 0.9858611, 0)

19:1:24, 1, (995.0576, 48.35461, 1180.109), (0.747324, 0, 0.6644597, 0)

19:1:25, 1, (1006.039, 47.60781, 1181.428), (0.6694437, 0, 0.7428628, 0)

19:1:26, 1, (1015.498, 46.6835, 1179.087), (0.5246177, 0, 0.851338, 0)

19:1:27, 1, (1024.636, 45.59619, 1174.549), (0.5280875, 0, 0.8491899, 0)

19:1:28, 1, (1033.602, 44.39709, 1170.128), (0.5280875, 0, 0.8491899, 0)

19:1:29, 1, (1042.565, 43.09856, 1165.61), (0.4082626, 0, 0.9128646, 0)

19:1:30, 1, (1049.548, 41.92467, 1158.633), (0.606506, 0, 0.7950789, 0)

19:1:31, 1, (1058.521, 40.47497, 1154.956), (0.4364574, 0, 0.8997249, 0)

19:1:32, 1, (1066.417, 39.06098, 1148.753), (0.4785594, 0, 0.8780552, 0)

19:1:33, 1, (1075.169, 37.43928, 1143.842), (0.5118418, 0, 0.8590797, 0)

19:1:34, 1, (1084.16, 35.70676, 1139.563), (0.6386299, 0, 0.769514, 0)

19:1:35, 1, (1094.062, 33.9003, 1137.912), (0.6479936, 0, 0.7616457, 0)

19:1:36, 1, (1103.636, 32.12072, 1135.967), (0.4016007, 0, 0.9158149, 0)

19:1:37, 1, (1112.371, 30.41091, 1131.731), (0.6453809, 0, 0.7638609, 0)

19:1:38, 1, (1122.026, 28.59779, 1129.326), (0.5152401, 0, 0.8570459, 0)

19:1:40, 1, (1128.208, 27.38981, 1126.046), (0.5152401, 0, 0.8570459, 0)

19:1:41, 1, (1139.528, 25.18462, 1119.969), (0.4595542, 0, 0.8881498, 0)

19:1:42, 1, (1146.059, 23.93232, 1112.262), (0.2841346, 0, 0.9587844, 0)

