#Timestamp-Hour:Minute:Second:Millisecond, Current Scene Index, (xPos, yPos, zPos), (wRot, xRot, yRot, zRot)
19:55:6:803, 0, (0, 0, 0), (0, 0, 0, 0)

19:55:7:980, 0, (0, 0, 0), (0, 0, 0, 0)

19:55:8:980, 0, (0, 0, 0), (0, 0, 0, 0)

19:55:14:137, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

19:55:15:140, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

19:55:16:176, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

19:55:17:160, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

19:55:18:333, 1, (1000, 48.38041, 1200), (-0.2407156, 0, -0.9705957, 0)

