#Timestamp-Hour:Minute:Second:Millisecond, Current Scene Index, (xPos, yPos, zPos), (wRot, xRot, yRot, zRot)
19:18:20:592, 0, (0, 0, 0), (0, 0, 0, 0)

19:18:21:760, 0, (0, 0, 0), (0, 0, 0, 0)

19:18:22:760, 0, (0, 0, 0), (0, 0, 0, 0)

19:18:27:297, 1, (1000, 48.38041, 1200), (-0.4227013, 0, 0.9062691, 0)

19:18:28:510, 1, (1000, 48.38041, 1200), (-0.4227013, 0, 0.9062691, 0)

19:18:29:285, 1, (1000, 48.38041, 1200), (-0.4227013, 0, 0.9062691, 0)

19:18:32:302, 1, (1000, 48.38041, 1200), (0.9777962, 0, 0.2095583, 0)

19:18:34:227, 1, (1000, 48.38041, 1200), (0.05666463, 0, 0.9983933, 0)

19:18:35:200, 1, (1000, 48.38041, 1200), (0.1736209, 0, 0.9848126, 0)

