#Timestamp-Hour:Minute:Second:Millisecond, Current Scene Index, (xPos, yPos, zPos), (wRot, xRot, yRot, zRot)
19:27:47:479, 0, (0, 0, 0), (0, 0, 0, 0)

19:27:48:476, 0, (0, 0, 0), (0, 0, 0, 0)

19:27:49:476, 0, (0, 0, 0), (0, 0, 0, 0)

19:27:50:476, 0, (0, 0, 0), (0, 0, 0, 0)

19:27:51:476, 0, (0, 0, 0), (0, 0, 0, 0)

19:27:52:476, 0, (0, 0, 0), (0, 0, 0, 0)

19:27:53:476, 0, (0, 0, 0), (0, 0, 0, 0)

19:27:54:476, 0, (0, 0, 0), (0, 0, 0, 0)

19:27:58:949, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

19:28:0:316, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

19:28:1:336, 1, (1000, 48.38041, 1200), (-0.01079912, 0, 0.9999417, 0)

19:28:2:340, 1, (1000, 48.38041, 1200), (0.08135635, 0, 0.9966851, 0)

