#Timestamp-Hour:Minute:Second:Millisecond, Current Scene Index, (xPos, yPos, zPos), (wRot, xRot, yRot, zRot)
20:7:57:979, 0, (0, 0, 0), (0, 0, 0, 0)

20:7:58:975, 0, (0, 0, 0), (0, 0, 0, 0)

20:7:59:975, 0, (0, 0, 0), (0, 0, 0, 0)

20:8:0:975, 0, (0, 0, 0), (0, 0, 0, 0)

20:8:5:769, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

20:8:6:512, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

20:8:7:496, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

20:8:10:214, 1, (1000, 48.38041, 1200), (-0.9720998, 0, 0.2345674, 0)

