#Timestamp-Hour:Minute:Second:Millisecond, Current Scene Index, (xPos, yPos, zPos), (wRot, xRot, yRot, zRot)
19:59:21:594, 0, (0, 0, 0), (0, 0, 0, 0)

19:59:22:755, 0, (0, 0, 0), (0, 0, 0, 0)

19:59:23:756, 0, (0, 0, 0), (0, 0, 0, 0)

19:59:28:320, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

19:59:29:304, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

19:59:30:324, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

19:59:31:328, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

19:59:32:348, 1, (1000, 48.38041, 1200), (-0.4262507, 0, 0.9046051, 0)

