#Timestamp-Hour:Minute:Second:Millisecond, Current Scene Index, (xPos, yPos, zPos), (wRot, xRot, yRot, zRot)
17:44:10:993, 0, (0, 0, 0), (0, 0, 0, 0)

17:44:11:987, 0, (0, 0, 0), (0, 0, 0, 0)

17:44:13:319, 0, (0, 0, 0), (0, 0, 0, 0)

17:44:14:320, 0, (0, 0, 0), (0, 0, 0, 0)

17:44:15:320, 0, (0, 0, 0), (0, 0, 0, 0)

17:44:16:320, 0, (0, 0, 0), (0, 0, 0, 0)

17:44:17:320, 0, (0, 0, 0), (0, 0, 0, 0)

17:44:18:320, 0, (0, 0, 0), (0, 0, 0, 0)

17:44:19:320, 0, (0, 0, 0), (0, 0, 0, 0)

17:44:20:320, 0, (0, 0, 0), (0, 0, 0, 0)

17:44:21:320, 0, (0, 0, 0), (0, 0, 0, 0)

17:44:22:320, 0, (0, 0, 0), (0, 0, 0, 0)

17:44:23:320, 0, (0, 0, 0), (0, 0, 0, 0)

17:44:24:320, 0, (0, 0, 0), (0, 0, 0, 0)

17:44:25:320, 0, (0, 0, 0), (0, 0, 0, 0)

17:44:26:320, 0, (0, 0, 0), (0, 0, 0, 0)

17:44:27:328, 0, (0, 0, 0), (0, 0, 0, 0)

17:44:28:320, 0, (0, 0, 0), (0, 0, 0, 0)

17:44:29:320, 0, (0, 0, 0), (0, 0, 0, 0)

17:44:33:961, 1, (1000, 48.38041, 1200), (-0.3478984, 0, 0.9375323, 0)

17:44:34:965, 1, (1000, 48.38041, 1200), (-0.3478984, 0, 0.9375323, 0)

17:44:35:969, 1, (1000, 48.38041, 1200), (-0.3478984, 0, 0.9375323, 0)

17:44:36:969, 1, (1000, 48.38041, 1200), (-0.3478984, 0, 0.9375323, 0)

17:44:37:972, 1, (1000, 48.38041, 1200), (-0.3478984, 0, 0.9375323, 0)

17:44:38:976, 1, (1000, 48.38041, 1200), (-0.3478984, 0, 0.9375323, 0)

17:44:39:976, 1, (1000, 48.38041, 1200), (-0.3478984, 0, 0.9375323, 0)

17:44:40:981, 1, (999.9006, 48.38894, 1199.885), (-0.3478984, 0, 0.9375323, 0)

17:44:41:985, 1, (996.6991, 48.60668, 1196.165), (-0.3478984, 0, 0.9375323, 0)

17:44:43:723, 1, (993.8027, 48.75881, 1192.8), (-0.5333742, 0, 0.8458794, 0)

17:44:44:525, 1, (993.6216, 48.76774, 1192.589), (-0.5333742, 0, 0.8458794, 0)

17:44:45:647, 1, (993.6216, 48.76773, 1192.589), (-0.867758, 0, 0.496987, 0)

