#Timestamp-Hour:Minute:Second:Millisecond, Current Scene Index, (xPos, yPos, zPos), (wRot, xRot, yRot, zRot)
20:21:4:479, 0, (0, 0, 0), (0, 0, 0, 0)

20:21:5:475, 0, (0, 0, 0), (0, 0, 0, 0)

20:21:6:475, 0, (0, 0, 0), (0, 0, 0, 0)

20:21:7:475, 0, (0, 0, 0), (0, 0, 0, 0)

20:21:8:475, 0, (0, 0, 0), (0, 0, 0, 0)

20:21:9:482, 0, (0, 0, 0), (0, 0, 0, 0)

20:21:10:475, 0, (0, 0, 0), (0, 0, 0, 0)

20:21:11:475, 0, (0, 0, 0), (0, 0, 0, 0)

20:21:12:475, 0, (0, 0, 0), (0, 0, 0, 0)

20:21:16:968, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

20:21:18:3, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

20:21:18:987, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

20:21:20:7, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

20:21:20:996, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

20:21:24:57, 1, (1000, 48.38041, 1200), (0.9969072, 0, -0.07858779, 0)

20:21:24:955, 1, (1000, 48.38041, 1200), (0.7118101, 0, 0.702372, 0)

20:21:25:959, 1, (1000, 48.38041, 1200), (0.7085723, 0, 0.7056382, 0)

20:21:26:927, 1, (1000, 48.38041, 1200), (0.7085723, 0, 0.7056382, 0)

20:21:27:932, 1, (1000, 48.38041, 1200), (0.7085723, 0, 0.7056382, 0)

20:21:28:931, 1, (1000, 48.38041, 1200), (0.7085723, 0, 0.7056382, 0)

20:21:29:936, 1, (1000, 48.38041, 1200), (0.7085723, 0, 0.7056382, 0)

20:21:30:940, 1, (1000, 48.38041, 1200), (0.7085723, 0, 0.7056382, 0)

20:21:31:939, 1, (1000, 48.38041, 1200), (0.7085723, 0, 0.7056382, 0)

20:21:32:944, 1, (1000, 48.38041, 1200), (0.7085723, 0, 0.7056382, 0)

20:21:33:943, 1, (1000, 48.38041, 1200), (0.7085723, 0, 0.7056382, 0)

