#Timestamp-Hour:Minute:Second:Millisecond, Current Scene Index, (xPos, yPos, zPos), (wRot, xRot, yRot, zRot)
19:45:37:156, 0, (0, 0, 0), (0, 0, 0, 0)

19:45:38:155, 0, (0, 0, 0), (0, 0, 0, 0)

19:45:42:856, 1, (1000, 48.42524, 1200), (-0.2689429, 0, 0.9631562, 0)

19:45:43:860, 1, (999.2079, 48.44568, 1199.064), (-0.3439179, 0, 0.9389997, 0)

19:45:44:879, 1, (993.4578, 48.77395, 1192.267), (-0.3439179, 0, 0.9389997, 0)

19:45:45:847, 1, (986.9771, 48.93306, 1184.606), (-0.3439179, 0, 0.9389997, 0)

19:45:47:199, 2, (0, 0, 0), (0, 0, 0, 0)

19:45:48:207, 2, (0, 0, 0), (0, 0, 0, 0)

19:45:50:312, 3, (5, 1.113439, 7), (0.9999908, 0, 0.004303286, 0)

19:45:51:312, 3, (7.953496, 1.01, 8.994813), (0.9642359, 0, 0.2650457, 0)

19:45:52:316, 3, (11.93359, 1.01, 8.772676), (0.719804, 0, 0.6941774, 0)

19:45:53:335, 3, (11.81894, 1.01, 13.18007), (0.9996261, 0, 0.02734431, 0)

19:45:54:335, 3, (13.21242, 1.01, 22.53385), (0.775428, 0, 0.631436, 0)

19:45:55:699, 3, (20.12374, 1.01, 23.29232), (0.6687175, 0, 0.7435166, 0)

19:45:56:675, 3, (26.10528, 1.01, 23.05997), (0.7895215, 0, 0.613723, 0)

19:45:57:664, 3, (32.31807, 1.01, 27.38862), (-0.9999638, 0, 0.008515645, 0)

19:45:58:684, 3, (32.14351, 1.01, 37.18566), (0.9998647, 0, 0.01645046, 0)

19:45:59:667, 3, (36.07695, 1.01, 44.87167), (0.7262355, 0, 0.687446, 0)

19:46:1:88, 3, (44.55203, 1.01, 44.79822), (0.8647258, 0, 0.5022442, 0)

19:46:2:92, 3, (54.13347, 1.01, 44.79961), (0.7323182, 0, 0.6809627, 0)

19:46:3:96, 3, (63.19049, 1.01, 43.78057), (0.7323182, 0, 0.6809627, 0)

19:46:4:116, 3, (71.01456, 1.01, 47.09174), (-0.9993649, 0, 0.03563547, 0)

19:46:5:100, 3, (70.33326, 1.01, 57.26057), (-0.9993649, 0, 0.03563547, 0)

19:46:6:104, 3, (72.97735, 1.01, 65.63857), (0.7540277, 0, 0.6568426, 0)

19:46:7:88, 3, (82.7496, 1.01, 65.27543), (0.671394, 0, 0.7411006, 0)

19:46:8:92, 3, (88.7897, 1.01, 59.52568), (0.05877023, 0, 0.9982716, 0)

19:46:9:96, 3, (88.78992, 1.01, 49.50909), (0.0281885, 0, 0.9996026, 0)

19:46:10:96, 3, (91.71901, 1.01, 43.67365), (0.8359833, 0, 0.5487548, 0)

19:46:11:100, 3, (100.9934, 1.01, 44.9099), (0.7236121, 0, 0.6902069, 0)

19:46:12:104, 3, (109.2427, 1.01, 44.18258), (0.7236121, 0, 0.6902069, 0)

19:46:13:88, 3, (119.0697, 1.01, 44.64699), (0.7236121, 0, 0.6902069, 0)

19:46:14:92, 3, (128.1287, 1.01, 43.82922), (0.7236121, 0, 0.6902069, 0)

19:46:15:92, 3, (138.1152, 1.01, 44.30124), (0.7236121, 0, 0.6902069, 0)

19:46:16:96, 3, (147.9221, 1.01, 45.62712), (0.86353, 0, 0.5042975, 0)

19:46:17:100, 3, (153.3349, 1.01, 49.00777), (0.7754698, 0, 0.6313846, 0)

19:46:18:100, 3, (161.5588, 1.01, 51.16663), (0.999564, 0, 0.02952807, 0)

19:46:19:88, 3, (160.4933, 1.01, 60.84415), (-0.998959, 0, 0.04561716, 0)

