#Timestamp, Current Scene Index, (xPos, yPos, zPos), (wRot, xRot, yRot, zRot)
19:0:28, 0, (0, 0, 0), (0, 0, 0, 0)

19:0:29, 0, (0, 0, 0), (0, 0, 0, 0)

19:0:30, 0, (0, 0, 0), (0, 0, 0, 0)

19:0:31, 0, (0, 0, 0), (0, 0, 0, 0)

19:0:36, 1, (1000, 49.79437, 1200), (-0.265725, 0, 0.9640489, 0)

19:0:37, 1, (997.8165, 48.52759, 1196.341), (-0.2657257, 0, 0.9640487, 0)

19:0:38, 1, (992.782, 48.72487, 1187.902), (-0.2657257, 0, 0.9640487, 0)

19:0:39, 1, (987.5559, 48.70611, 1179.143), (-0.2657257, 0, 0.9640487, 0)

19:0:40, 1, (982.446, 48.51494, 1170.739), (-0.3538066, 0, 0.9353186, 0)

19:0:41, 1, (976.4866, 48.18136, 1162.475), (-0.2920127, 0, 0.9564145, 0)

