#Timestamp-Hour:Minute:Second:Millisecond, Current Scene Index, (xPos, yPos, zPos), (wRot, xRot, yRot, zRot)
19:57:35:871, 0, (0, 0, 0), (0, 0, 0, 0)

19:57:37:56, 0, (0, 0, 0), (0, 0, 0, 0)

19:57:38:57, 0, (0, 0, 0), (0, 0, 0, 0)

19:57:39:57, 0, (0, 0, 0), (0, 0, 0, 0)

19:57:43:590, 1, (1000, 48.38041, 1200), (-0.2911835, 0, 0.9566672, 0)

19:57:44:722, 1, (1000, 48.38041, 1200), (-0.2911835, 0, 0.9566672, 0)

19:57:45:609, 1, (1000, 48.38041, 1200), (-0.2911835, 0, 0.9566672, 0)

19:57:48:555, 1, (1000, 48.38041, 1200), (0.7736714, 0, 0.633587, 0)

