#Timestamp-Hour:Minute:Second:Millisecond, Current Scene Index, (xPos, yPos, zPos), (wRot, xRot, yRot, zRot)
20:6:52:169, 0, (0, 0, 0), (0, 0, 0, 0)

20:6:53:164, 0, (0, 0, 0), (0, 0, 0, 0)

20:6:54:164, 0, (0, 0, 0), (0, 0, 0, 0)

20:6:55:164, 0, (0, 0, 0), (0, 0, 0, 0)

20:6:56:164, 0, (0, 0, 0), (0, 0, 0, 0)

20:7:0:737, 1, (1000, 48.38041, 1200), (-0.2335014, 0, 0.9723565, 0)

20:7:1:720, 1, (1000, 48.38041, 1200), (-0.2335053, 0, 0.9723555, 0)

20:7:3:9, 1, (1000, 48.38041, 1200), (-0.7091444, 0, 0.7050632, 0)

