#Timestamp-Hour:Minute:Second:Millisecond, Current Scene Index, (xPos, yPos, zPos), (wRot, xRot, yRot, zRot)
19:45:12:824, 0, (0, 0, 0), (0, 0, 0, 0)

19:45:13:822, 0, (0, 0, 0), (0, 0, 0, 0)

19:45:14:823, 0, (0, 0, 0), (0, 0, 0, 0)

19:45:15:823, 0, (0, 0, 0), (0, 0, 0, 0)

19:45:16:823, 0, (0, 0, 0), (0, 0, 0, 0)

19:45:17:822, 0, (0, 0, 0), (0, 0, 0, 0)

19:45:18:823, 0, (0, 0, 0), (0, 0, 0, 0)

19:45:24:23, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

19:45:25:11, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

19:45:26:27, 1, (1000, 48.38041, 1200), (-0.03557567, 0, 0.999367, 0)

19:45:27:96, 1, (1000, 48.38041, 1200), (-0.8586665, 0, -0.5125349, 0)

19:45:28:51, 1, (1000, 48.38041, 1200), (-0.07752433, 0, 0.9969905, 0)

19:45:29:71, 1, (1000, 48.38041, 1200), (-0.04288149, 0, 0.9990802, 0)

19:45:30:87, 1, (999.3959, 48.37889, 1192.976), (-0.04288411, 0, 0.9990801, 0)

19:45:31:475, 1, (999.38, 48.17094, 1183.469), (0.5857589, 0, 0.8104854, 0)

19:45:32:163, 1, (1001.481, 47.96408, 1181.589), (-0.5657715, 0, 0.8245621, 0)

