#Timestamp-Hour:Minute:Second:Millisecond, Current Scene Index, (xPos, yPos, zPos), (wRot, xRot, yRot, zRot)
17:45:26:103, 0, (0, 0, 0), (0, 0, 0, 0)

17:45:27:97, 0, (0, 0, 0), (0, 0, 0, 0)

17:45:28:97, 0, (0, 0, 0), (0, 0, 0, 0)

17:45:29:97, 0, (0, 0, 0), (0, 0, 0, 0)

17:45:30:97, 0, (0, 0, 0), (0, 0, 0, 0)

17:45:31:97, 0, (0, 0, 0), (0, 0, 0, 0)

17:45:32:97, 0, (0, 0, 0), (0, 0, 0, 0)

17:45:33:97, 0, (0, 0, 0), (0, 0, 0, 0)

17:45:34:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:45:35:97, 0, (0, 0, 0), (0, 0, 0, 0)

17:45:36:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:45:37:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:45:38:118, 0, (0, 0, 0), (0, 0, 0, 0)

17:45:39:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:45:40:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:45:41:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:45:42:97, 0, (0, 0, 0), (0, 0, 0, 0)

17:45:43:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:45:44:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:45:45:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:45:46:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:45:47:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:45:48:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:45:49:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:45:50:102, 0, (0, 0, 0), (0, 0, 0, 0)

17:45:51:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:45:52:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:45:53:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:45:54:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:45:55:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:45:56:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:45:57:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:45:58:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:45:59:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:46:0:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:46:1:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:46:2:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:46:3:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:46:4:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:46:5:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:46:6:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:46:7:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:46:8:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:46:9:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:46:10:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:46:11:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:46:12:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:46:13:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:46:14:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:46:15:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:46:16:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:46:17:98, 0, (0, 0, 0), (0, 0, 0, 0)

17:46:18:98, 0, (0, 0, 0), (0, 0, 0, 0)

