#Timestamp-Hour:Minute:Second:Millisecond, Current Scene Index, (xPos, yPos, zPos), (wRot, xRot, yRot, zRot)
20:24:17:406, 0, (0, 0, 0), (0, 0, 0, 0)

20:24:18:369, 0, (0, 0, 0), (0, 0, 0, 0)

20:24:19:369, 0, (0, 0, 0), (0, 0, 0, 0)

20:24:20:369, 0, (0, 0, 0), (0, 0, 0, 0)

20:24:21:369, 0, (0, 0, 0), (0, 0, 0, 0)

20:24:22:369, 0, (0, 0, 0), (0, 0, 0, 0)

20:24:24:754, 1, (999.2079, 48.44568, 1199.064), (-0.3439179, 0, 0.9389997, 0)

20:24:25:742, 1, (993.4578, 48.77395, 1192.267), (-0.3439179, 0, 0.9389997, 0)

20:24:27:34, 2, (0, 0, 0), (0, 0, 0, 0)

20:24:28:34, 2, (0, 0, 0), (0, 0, 0, 0)

20:24:29:518, 3, (5, 1.01, 7), (1, 0, 0, 0)

20:24:30:522, 3, (5, 1.01, 7), (1, 0, 0, 0)

20:24:31:522, 3, (11.93359, 1.01, 8.772676), (0.7198039, 0, 0.6941774, 0)

20:24:32:526, 3, (20.12374, 1.01, 23.29232), (0.6687174, 0, 0.7435166, 0)

20:24:33:526, 3, (32.31807, 1.01, 27.38862), (-0.9999638, 0, 0.008515645, 0)

20:24:34:514, 3, (44.55203, 1.01, 44.79822), (0.8647258, 0, 0.5022442, 0)

20:24:35:514, 3, (70.33326, 1.01, 57.26057), (-0.9993649, 0, 0.03563547, 0)

20:24:36:518, 3, (88.7897, 1.01, 59.52568), (0.05877023, 0, 0.9982716, 0)

20:24:37:522, 3, (100.9934, 1.01, 44.9099), (0.7236121, 0, 0.6902069, 0)

20:24:38:522, 3, (128.1287, 1.01, 43.82922), (0.7236121, 0, 0.6902069, 0)

20:24:39:526, 3, (153.3349, 1.01, 49.00777), (0.7754698, 0, 0.6313847, 0)

20:24:40:514, 3, (158.9166, 1.01, 70.68095), (-0.9560843, 0, 0.2930918, 0)

20:24:41:514, 3, (141.1327, 1.01, 72.14741), (-0.6827636, 0, 0.7306393, 0)

20:24:42:518, 3, (134.7229, 1.01, 83.97171), (-0.9765579, 0, 0.215255, 0)

20:24:43:522, 3, (145.9739, 1.01, 87.68168), (0.8880826, 0, 0.4596841, 0)

20:24:44:522, 3, (156.1221, 1.01, 107.5824), (-0.9867408, 0, 0.1623039, 0)

20:24:45:526, 3, (158.291, 1.01, 142.1641), (0.7714154, 0, 0.6363319, 0)

20:24:46:514, 3, (188.2642, 1.01, 141.9502), (0.6686405, 0, 0.7435858, 0)

20:24:47:514, 3, (192.3047, 1.01, 114.7563), (0.01677955, 0, 0.9998592, 0)

20:24:48:518, 3, (192.3761, 1.01, 84.69152), (0.2500381, 0, 0.968236, 0)

