#Timestamp-Hour:Minute:Second:Millisecond, Current Scene Index, (xPos, yPos, zPos), (wRot, xRot, yRot, zRot)
20:18:55:37, 0, (0, 0, 0), (0, 0, 0, 0)

20:18:56:30, 0, (0, 0, 0), (0, 0, 0, 0)

20:18:57:30, 0, (0, 0, 0), (0, 0, 0, 0)

20:18:58:30, 0, (0, 0, 0), (0, 0, 0, 0)

20:18:59:30, 0, (0, 0, 0), (0, 0, 0, 0)

20:19:0:30, 0, (0, 0, 0), (0, 0, 0, 0)

20:19:1:30, 0, (0, 0, 0), (0, 0, 0, 0)

20:19:5:631, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

20:19:6:619, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

20:19:8:871, 3, (7.953496, 1.01, 8.994813), (0.9642359, 0, 0.2650457, 0)

20:19:9:875, 3, (7.953496, 1.01, 8.994813), (0.9642359, 0, 0.2650457, 0)

20:19:10:863, 3, (7.953496, 1.01, 8.994813), (0.9642359, 0, 0.2650457, 0)

20:19:11:863, 3, (7.953496, 1.01, 8.994813), (0.9642359, 0, 0.2650457, 0)

20:19:12:867, 3, (7.953496, 1.01, 8.994813), (0.9619384, 0, 0.2732665, 0)

20:19:13:871, 3, (7.953496, 1.01, 8.994813), (0.9642359, 0, 0.2650457, 0)

20:19:14:871, 3, (7.953496, 1.01, 8.994813), (0.9642359, 0, 0.2650457, 0)

20:19:15:875, 3, (7.953496, 1.01, 8.994813), (0.9642359, 0, 0.2650457, 0)

